台灣
TPE: TAIPEI-CHIANG KAI SHEK, 台灣桃園

CYI: CHIAYI, 台灣嘉義

CMJ: CHIMAY, 台灣七美

GNI: GREEN ISLAND, 台灣綠島

HUN: HUALIEN, 台灣花蓮

KHH: KAOHSIUNG, 台灣高雄

KNH: KINMEN, 台灣金門

MZG: MAKUNG, 台灣馬公

MFK: MATSU, 台灣馬祖

KYD: ORCHID ISLAND, 台灣蘭嶼

PIF: PINGTUNG, 台灣屏東

WOT: WON-AN, 台灣望安

TSA: SUNG SHAN - TAIPEI CITY, 台灣松山

TXG: TAICHUNG, 台灣台中

TTT: TAITUNG, 台灣台東

TNN: TAINAN, 台灣台南

中國
BHY: BEIHAI, 中國北海

PEK: BEIJING, 中國北京

CAN: CANTON, 中國廣州

CGQ: CHANGCHUN, 中國長春

CSX: CHANGSHA, 中國長沙

CTU: CHENGTU, 中國成都

CKG: CHONGQING, 中國重慶

DLC: DALIAN, 中國大連

DYG: DAYONG, 中國張家界

FOC: FOOCHOW, 中國福州

KWL: GUILIN, 中國桂林

KWE: GUIYANG, 中國貴陽

HAK: HAIKOU, 中國海口

HGH: HANGCHOW, 中國杭州

HRB: HARBIN, 中國哈爾濱

HFE: HEFEI, 中國合肥

TNA: JINAN, 中國濟南

KMG: KUNMING, 中國昆明

LHW: LANZHOU, 中國蘭州

LYA: LUOYANG, 中國洛陽

MXZ: MEIXIAN, 中國梅縣

KHN: NANCHANG, 中國南昌

SYX: SANYA, 中國三亞

SHA: SHANGHAI, 中國上海

SHE: SHENYANG, 中國瀋陽

SZX: SHENZHEN, 中國深圳

SJW: SHIJIAZHUANG, 中國石家莊

SWA: SWATOW, 中國汕頭

TYN: TAIYUAN, 中國太原

TSN: TIANJIN, 中國天津

TAO: TSINGTAO, 中國青島

TXN: TUNXI, 中國黃山

URC: URUMQI, 中國烏魯木齊

WNZ: WENZHOU, 中國溫州

WUH: WUHAN, 中國武漢

XMN: XIAMEN, 中國廈門

SIA: XIAN, 中國西安

XIY: XIANYANG, 中國襄陽

YNT: YANTAI, 中國煙台

CGO: ZHENGZHOU, 中國鄭州

ZHA: ZHANJIANG, 中國湛江

ZUH: ZHUHAI, 中國珠海

港澳日韓
HKG: HONG KONG, 香港

MFM: MACAU, 澳門

SEL: SEOU, 南韓首爾

PUS: PUSAN, 南韓釜山

CTS: CHITOSE, 日本千歲

FUK: FUKUOKA, 日本福岡

HKD: HAKODATE, 日本函館

HND: HANEDA, 日本東京羽田

NGO: NAGOYA, 日本名古屋

NRT: NARITA, 日本東京成田

OKA: OKINAWA, 日本沖繩

KIX: OSAKA-KANSAI INTERNATIONAL, 日本大阪

SPK: SAPPORO, 日本札幌

東南亞
BAG: BAGUIO, 菲律賓碧瑤

BWN: BANDAR SERI BEGAWAN, 汶萊

BKK: BANGKOK, 泰國曼谷

BOM: BOMBAY, 印度孟買

CCU: CALCUTTA, 印度加爾各答

CEB: CEBU, 菲律賓宿霧

CNX: CHIANG MAI, 泰國清邁

